Paper	Experiment	Head_Number	Local_Number	Notionality	N_singular_verb	N_plural_verb	Other_combined	N_misc_total	N_uninflected	N_missing
Bock_et_al_2006	2	Ns	Ns	Sg	219	2	355	54	301	0
Bock_et_al_2006	3	Ns	Ns	Sg	556	6	158	55	103	0
Bock_et_al_2006	4	Ns	Ns	Sg	65	0	10	1	9	0
Bock_et_al_2012	1	Ns	Ns	Sg	352	0	160	38	122	0
Bock_et_al_2012	2	Ns	Ns	Sg	479	12	21	21	NA	0
Bock_et_al_2004	1	Ns	Ns	Sg	773	16	235	68	167	0
Bock_et_al_2004	2	Ns	Ns	Sg	318	0	66	31	35	0
Bock_et_al_2004	3	Ns	Ns	Sg	251	9	124	60	64	0
Bock_et_al_2004	4	Ns	Ns	Sg	301	3	80	36	44	0
Bock_et_al_2004	5	Ns	Ns	Sg	327	0	87	32	55	0
Bock_et_al_2001	1	Ns	Ns	Sg	416	2	158	30	128	0
Bock_et_al_2001	2	Ns	Ns	Sg	260	3	151	12	139	0
Bock_et_al_2001	3	Ns	Ns	Sg	138	1	53	16	37	0
Bock_et_al_1999	1	Ns	Ns	Sg	856	25	415	.	.	.
Brehm_&_Bock_2013	1	Ns	Ns	Sg	1755	42	3	0	NA	3
Brehm_&_Bock_2013	2	Ns	Ns	Sg	785	2	413	90	304	19
Eberhard_1997	1	Ns	Ns	Sg	425	11	140	20	120	0
Eberhard_1997	3	Ns	Ns	Sg	214	1	73	6	67	0
Eberhard_1999	1	Ns	Ns	Sg	52	0	20	5	15	0
Eberhard_1999	2	Ns	Ns	Sg	99	0	61	9	52	0
Eberhard_1999	3	Ns	Ns	Sg	93	1	66	16	50	0
Foote_&_Bock_2012	1	Ns	Ns	Sg	410	0	6	.	.	.
Gillespie_&_Pearlmutter_2013	1	Ns	Ns	Sg	874	3	563	177	377	9
Gillespie_&_Pearlmutter_2013	2	Ns	Ns	Sg	1258	5	741	327	407	7
Solomon_&_Pearlmutter_2004	1	Ns	Ns	Sg	153	1	80	16	33	31
Solomon_&_Pearlmutter_2004	2	Ns	Ns	Sg	67	0	193	30	148	15
Solomon_&_Pearlmutter_2004	3	Ns	Ns	Sg	58	0	242	19	177	46
Solomon_&_Pearlmutter_2004	4	Ns	Ns	Sg	253	4	495	107	310	78
Solomon_&_Pearlmutter_2004	5	Ns	Ns	Sg	532	7	523	150	158	215
Thornton_&_MacDonald_2003	1	Ns	Ns	Sg	352	7	41	37	4	0
Thornton_&_MacDonald_2003	2	Ns	Ns	Sg	586	1	55	35	20	0
Vigliocco_&_Nicol_1998	1	Ns	Ns	Sg	240	1	47	47	0	0
Bock_et_al_2012	2	Ns	Ns	Pl	480	6	26	26	NA	0
Bock_et_al_2004	4	Ns	Ns	Pl	293	2	89	32	57	0
Bock_et_al_2004	5	Ns	Ns	Pl	314	5	95	39	56	0
Brehm_&_Bock_2013	1	Ns	Ns	Pl	1698	99	3	2	NA	1
Brehm_&_Bock_2013	2	Ns	Ns	Pl	701	74	425	98	302	25
Eberhard_1999	1	Ns	Ns	Pl	54	0	18	3	15	0
Eberhard_1999	2	Ns	Ns	Pl	92	0	68	7	61	0
Eberhard_1999	3	Ns	Ns	Pl	91	3	66	7	59	0
Solomon_&_Pearlmutter_2004	1	Ns	Ns	Pl	123	0	111	41	31	39
Solomon_&_Pearlmutter_2004	2	Ns	Ns	Pl	62	2	196	31	147	18
Solomon_&_Pearlmutter_2004	3	Ns	Ns	Pl	31	1	268	28	173	67
Solomon_&_Pearlmutter_2004	4	Ns	Ns	Pl	116	10	156	28	68	60
Bock_&_Eberhard_1993	3	Ns	Np_Irreg	Sg	53	9	34	9	25	0
Bock_et_al_2006	4	Ns	Np_Irreg	Sg	55	3	17	2	15	0
Bock_et_al_2001	2	Ns	Np_Irreg	Sg	205	29	180	39	141	0
Barker_et_al_2001	1	Ns	Np	Sg	516	61	191	163	28	0
Barker_et_al_2001	2	Ns	Np	Sg	487	132	149	149	0	0
Bock_&_Cutting_1992	1	Ns	Np	Sg	307	51	282	108	174	0
Bock_&_Cutting_1992	2	Ns	Np	Sg	869	44	367	210	157	0
Bock_&_Cutting_1992	3	Ns	Np	Sg	788	54	310	174	136	0
Bock_&_Eberhard_1993	1	Ns	Np	Sg	198	31	71	26	45	0
Bock_&_Eberhard_1993	2	Ns	Np	Sg	44	21	31	12	19	0
Bock_&_Eberhard_1993	3	Ns	Np	Sg	57	8	31	15	16	0
Bock_&_Eberhard_1993	4	Ns	Np	Sg	208	67	109	39	70	0
Bock_&_Miller_1991	1	Ns	Np	Sg	154	50	116	.	.	.
Bock_&_Miller_1991	2	Ns	Np	Sg	295	29	188	.	.	.
Bock_&_Miller_1991	3	Ns	Np	Sg	249	56	207	.	.	.
Bock_&_Miller_1991	2-replication	Ns	Np	Sg	320	25	167	.	.	.
Bock_et_al_2006	1	Ns	Np	Sg	541	125	486	486	0	0
Bock_et_al_2006	2	Ns	Np	Sg	173	34	369	110	259	0
Bock_et_al_2006	3	Ns	Np	Sg	517	56	147	45	102	0
Bock_et_al_2006	4	Ns	Np	Sg	58	4	13	4	9	0
Bock_et_al_2012	1	Ns	Np	Sg	312	37	163	64	99	0
Bock_et_al_2012	2	Ns	Np	Sg	438	45	29	29	NA	0
Bock_et_al_2004	1	Ns	Np	Sg	508	104	412	291	121	0
Bock_et_al_2004	2	Ns	Np	Sg	239	58	87	44	43	0
Bock_et_al_2004	3	Ns	Np	Sg	148	42	194	128	66	0
Bock_et_al_2004	4	Ns	Np	Sg	176	68	140	108	32	0
Bock_et_al_2004	5	Ns	Np	Sg	265	24	125	62	63	0
Bock_et_al_2001	1	Ns	Np	Sg	256	130	190	89	101	0
Bock_et_al_2001	2	Ns	Np	Sg	216	56	142	28	114	0
Bock_et_al_2001	3	Ns	Np	Sg	112	17	63	21	42	0
Bock_et_al_1999	1	Ns	Np	Sg	524	98	674	.	.	.
Brehm_&_Bock_2013	1	Ns	Np	Sg	1645	155	0	0	NA	0
Brehm_&_Bock_2013	2	Ns	Np	Sg	756	77	367	86	257	24
Eberhard_1997	1	Ns	Np	Sg	271	112	193	81	112	0
Eberhard_1997	3	Ns	Np	Sg	275	124	177	56	121	0
Eberhard_1999	1	Ns	Np	Sg	48	7	17	5	12	0
Eberhard_1999	2	Ns	Np	Sg	79	17	64	6	58	0
Eberhard_1999	3	Ns	Np	Sg	80	17	63	16	47	0
Foote_&_Bock_2012	1	Ns	Np	Sg	199	6	3	.	.	.
Gillespie_&_Pearlmutter_2013	1	Ns	Np	Sg	787	65	588	240	342	6
Gillespie_&_Pearlmutter_2013	2	Ns	Np	Sg	1137	96	771	383	374	14
Solomon_&_Pearlmutter_2004	1	Ns	Np	Sg	118	32	84	24	29	31
Solomon_&_Pearlmutter_2004	2	Ns	Np	Sg	67	16	177	25	140	12
Solomon_&_Pearlmutter_2004	3	Ns	Np	Sg	35	13	252	36	161	55
Solomon_&_Pearlmutter_2004	4	Ns	Np	Sg	188	47	517	155	255	107
Solomon_&_Pearlmutter_2004	5	Ns	Np	Sg	456	54	552	199	147	206
Thornton_&_MacDonald_2003	1	Ns	Np	Sg	287	64	49	42	7	0
Thornton_&_MacDonald_2003	2	Ns	Np	Sg	504	60	77	52	25	0
Vigliocco_&_Nicol_1998	1	Ns	Np	Sg	196	36	56	56	0	0
Vigliocco_et_al_1996	3	Ns	Np	Sg	270	36	126	33	93	0
Vigliocco_et_al_1996	4	Ns	Np	Sg	199	25	64	64	0	0
Bock_et_al_2012	2	Ns	Np	Pl	388	92	32	32	NA	0
Bock_et_al_2004	4	Ns	Np	Pl	157	68	159	120	39	0
Bock_et_al_2004	5	Ns	Np	Pl	191	95	128	81	47	0
Brehm_&_Bock_2013	1	Ns	Np	Pl	1576	218	6	2	NA	4
Brehm_&_Bock_2013	2	Ns	Np	Pl	687	107	406	116	266	24
Eberhard_1999	1	Ns	Np	Pl	33	22	17	1	16	0
Eberhard_1999	2	Ns	Np	Pl	62	30	68	15	53	0
Eberhard_1999	3	Ns	Np	Pl	71	11	78	23	55	0
Foote_&_Bock_2012	1	Ns	Np	Pl	149	55	4	.	.	.
Solomon_&_Pearlmutter_2004	1	Ns	Np	Pl	115	9	110	35	32	43
Solomon_&_Pearlmutter_2004	2	Ns	Np	Pl	44	5	211	36	146	29
Solomon_&_Pearlmutter_2004	3	Ns	Np	Pl	29	5	266	39	164	63
Solomon_&_Pearlmutter_2004	4	Ns	Np	Pl	125	22	135	27	52	56
Vigliocco_et_al_1996	3	Ns	Np	Pl	292	34	106	28	78	0
Vigliocco_et_al_1996	4	Ns	Np	Pl	193	20	75	75	0	0
Bock_et_al_2004	5	Ns	Non-inflecting	Sg	181	12	14	14	0	0
Bock_et_al_2004	5	Ns	Non-inflecting	Pl	130	38	39	39	0	0
Bock_&_Eberhard_1993	3	Np	Ns_Irreg	Pl	5	69	22	4	18	0
Bock_&_Cutting_1992	1	Np	Ns	Pl	11	357	272	95	177	0
Bock_&_Eberhard_1993	3	Np	Ns	Pl	3	70	23	6	17	0
Bock_&_Miller_1991	1	Np	Ns	Pl	7	189	124	.	.	.
Bock_&_Miller_1991	2	Np	Ns	Pl	8	235	269	.	.	.
Bock_&_Miller_1991	3	Np	Ns	Pl	36	300	176	.	.	.
Bock_&_Miller_1991	2-replication	Np	Ns	Pl	8	270	234	.	.	.
Bock_et_al_2006	1	Np	Ns	Pl	29	771	352	352	0	0
Bock_et_al_2006	2	Np	Ns	Pl	2	208	366	102	264	0
Bock_et_al_2012	1	Np	Ns	Pl	16	318	178	82	96	0
Bock_et_al_2012	2	Np	Ns	Pl	88	887	49	49	NA	0
Bock_et_al_2004	1	Np	Ns	Pl	54	663	307	186	121	0
Bock_et_al_1999	1	Np	Ns	Pl	21	790	485	.	.	.
Eberhard_1997	2	Np	Ns	Pl	34	1573	481	151	330	0
Humphreys_&_Bock_2005	1	Np	Ns	Pl	4	131	297	93	204	0
Thornton_&_MacDonald_2003	1	Np	Ns	Pl	15	297	88	80	8	0
Vigliocco_&_Nicol_1998	1	Np	Ns	Pl	15	217	56	54	0	2
Bock_&_Cutting_1992	1	Np	Np	Pl	9	370	261	91	170	0
Bock_&_Miller_1991	1	Np	Np	Pl	4	196	120	.	.	.
Bock_&_Miller_1991	2	Np	Np	Pl	1	325	186	.	.	.
Bock_&_Miller_1991	3	Np	Np	Pl	3	297	212	.	.	.
Bock_et_al_2006	1	Np	Np	Pl	11	713	428	428	0	0
Bock_et_al_2006	2	Np	Np	Pl	3	192	381	137	244	0
Bock_et_al_2012	1	Np	Np	Pl	18	305	189	97	92	0
Bock_et_al_2012	2	Np	Np	Pl	51	933	40	40	NA	0
Bock_et_al_2004	1	Np	Np	Pl	39	691	294	187	107	0
Bock_et_al_1999	1	Np	Np	Pl	8	708	580	.	.	.
Humphreys_&_Bock_2005	1	Np	Np	Pl	1	292	571	159	412	0
Thornton_&_MacDonald_2003	1	Np	Np	Pl	21	340	39	35	4	0
Vigliocco_&_Nicol_1998	1	Np	Np	Pl	12	197	79	79	0	0
